"teamMemberCount","femaleTeamMembersPercent","teamLeadGender","teamDistribution","teamMemberResponseCount","meetingHoursTotal","meetingHoursAverage","meetingHoursStandardDeviation","inPersonMeetingHoursTotal","inPersonMeetingHoursAverage","inPersonMeetingHoursStandardDeviation","nonCodingDeliverablesHoursTotal","nonCodingDeliverablesHoursAverage","nonCodingDeliverablesHoursStandardDeviation","codingDeliverablesHoursTotal","codingDeliverablesHoursAverage","codingDeliverablesHoursStandardDeviation","helpHoursTotal","helpHoursAverage","helpHoursStandardDeviation","averageResponsesByWeek","standardDeviationResponsesByWeek","averageMeetingHoursTotalByWeek","standardDeviationMeetingHoursTotalByWeek","averageMeetingHoursAverageByWeek","standardDeviationMeetingHoursAverageByWeek","averageInPersonMeetingHoursTotalByWeek","standardDeviationInPersonMeetingHoursTotalByWeek","averageInPersonMeetingHoursAverageByWeek","standardDeviationInPersonMeetingHoursAverageByWeek","averageNonCodingDeliverablesHoursTotalByWeek","standardDeviationNonCodingDeliverablesHoursTotalByWeek","averageNonCodingDeliverablesHoursAverageByWeek","standardDeviationNonCodingDeliverablesHoursAverageByWeek","averageCodingDeliverablesHoursTotalByWeek","standardDeviationCodingDeliverablesHoursTotalByWeek","averageCodingDeliverablesHoursAverageByWeek","standardDeviationCodingDeliverablesHoursAverageByWeek","averageHelpHoursTotalByWeek","standardDeviationHelpHoursTotalByWeek","averageHelpHoursAverageByWeek","standardDeviationHelpHoursAverageByWeek","averageResponsesByStudent","standardDeviationResponsesByStudent","averageMeetingHoursTotalByStudent","standardDeviationMeetingHoursTotalByStudent","averageMeetingHoursAverageByStudent","standardDeviationMeetingHoursAverageByStudent","averageInPersonMeetingHoursTotalByStudent","standardDeviationInPersonMeetingHoursTotalByStudent","averageInPersonMeetingHoursAverageByStudent","standardDeviationInPersonMeetingHoursAverageByStudent","averageNonCodingDeliverablesHoursTotalByStudent","standardDeviationNonCodingDeliverablesHoursTotalByStudent","averageNonCodingDeliverablesHoursAverageByStudent","standardDeviationNonCodingDeliverablesHoursAverageByStudent","averageCodingDeliverablesHoursTotalByStudent","standardDeviationCodingDeliverablesHoursTotalByStudent","averageCodingDeliverablesHoursAverageByStudent","standardDeviationCodingDeliverablesHoursAverageByStudent","averageHelpHoursTotalByStudent","standardDeviationHelpHoursTotalByStudent","averageHelpHoursAverageByStudent","standardDeviationHelpHoursAverageByStudent","commitCount","uniqueCommitMessageCount","uniqueCommitMessagePercent","commitMessageLengthTotal","commitMessageLengthAverage","commitMessageLengthStandardDeviation","averageCommitCountByWeek","standardDeviationCommitCountByWeek","averageUniqueCommitMessageCountByWeek","standardDeviationUniqueCommitMessageCountByWeek","averageUniqueCommitMessagePercentByWeek","standardDeviationUniqueCommitMessagePercentByWeek","averageCommitMessageLengthTotalByWeek","standardDeviationCommitMessageLengthTotalByWeek","averageCommitCountByStudent","standardDeviationCommitCountByStudent","averageUniqueCommitMessageCountByStudent","issueCount","onTimeIssueCount","lateIssueCount","SE Process class"
"6","0.1667","0","0","41","138","3.365854","1.8839","68","1.658537","1.643312","117","2.853659","7.073003","381","9.292683","8.62001","63","1.536585","2.08476","13.6667","7.845735","46","30.011109","3.119444","0.511277","22.666667","17.824764","1.481944","0.355778","39","34.097898","2.469444","0.855005","127","97.183675","7.755556","3.001553","21","17.281975","1.319444","0.394307","6.8333","1.462494","23","9.110434","3.25","1.053269","11.333333","4.606758","1.595238","0.398054","19.5","19.636276","2.860119","3.229732","63.5","41.780179","9.240079","5.644586","10.5","12.244046","1.443452","1.497142","253","228","0.9012","28074","110.9644","105.630512","42.1667","7.447968","38.3333","8.359957","0.9082","0.089948","4679","1398.418512","42.1667","43.525535","38.5","2","2","0","F"
"6","0.1667","0","0","36","94.95","2.6375","1.583087","37.7","1.047222","0.758466","42.5","1.180556","0.994099","127.1","3.530556","3.681321","44","1.222222","1.277174","9","8.031189","23.7375","19.014974","2.996591","0.772783","9.425","8.941022","1.294571","0.528087","10.625","9.971052","1.015152","0.720852","31.775","28.728068","3.071212","1.055409","11","11.022704","1.260101","0.53151","6","1.527525","15.825","4.669382","2.665","0.729326","6.283333","1.703346","1.044861","0.078352","7.083333","3.746294","1.173611","0.515061","21.183333","22.974654","3.1825","2.859769","7.333333","4.997221","1.305556","0.852049","230","210","0.913","13859","60.2565","37.934719","38.3333","15.818414","35.5","15.381266","0.93186667","0.092374","2309.8333","1107.883781","46","29.799329","42.4","2","2","0","A"
"3","0","0","1","16","37.8","2.3625","2.421163","23.5","1.46875","0.991664","34","2.125","1.899836","76","4.75","8.647615","5.5","0.34375","0.458215","5.3333","2.357023","12.6","8.789482","2.65119","1.303939","7.833333","5.137012","1.357143","0.505076","11.333333","4.109609","2.333333","0.52597","25.333333","29.934187","3.738095","4.181809","1.833333","0.849837","0.380952","0.121405","5.3333","0.942809","12.6","2.248333","2.395833","0.350941","7.833333","3.793269","1.416667","0.53142","11.333333","9.533566","1.916667","1.559024","25.333333","21.171259","4.611111","3.359159","1.833333","1.545603","0.319444","0.246112","212","123","0.5802","10229","48.25","77.292441","35.3333","29.948103","22","16.401219","0.74576667","0.205785","1704.8333","2160.735941","30.2857","24.742758","17.8571","6","4","2","F"
"3","0","0","1","11","21","1.909091","0.668043","18","1.636364","0.771389","17","1.545455","0.890724","49","4.454545","3.11488","2.25","0.204545","0.381656","3.6667","0.471405","7","0.816497","1.972222","0.501541","6","0.816497","1.694444","0.463148","5.666667","2.054805","1.5","0.408248","16.333333","4.921608","4.361111","0.88802","0.75","0.889757","0.194444","0.218722","3.6667","2.054805","7","2.94392","2.222222","0.566558","6","2.94392","1.972222","0.74639","5.666667","3.681787","1.388889","0.283279","16.333333","11.323525","3.777778","2.469568","0.75","0.353553","0.222222","0.039284","79","71","0.8987","5745","72.7215","56.867364","13.1667","13.837349","12","11.647603","0.97083333","0.065219","957.5","693.466834","15.8","8.818163","14.2","2","1","1","F"
"3","0","0","1","19","108","5.684211","4.013827","55","2.894737","2.029901","76","4","3.713418","98","5.157895","3.437612","46","2.421053","2.135312","6.3333","2.867442","36","19.252705","6.288889","2.994481","18.333333","5.948856","3.355556","1.417505","25.333333","15.456031","3.844444","0.769961","32.666667","14.383633","5.544444","1.642115","15.333333","8.259674","2.511111","0.760279","6.3333","0.471405","36","10.198039","5.603175","1.162746","18.333333","8.993825","2.825397","1.238756","25.333333","16.213849","3.968254","2.620514","32.666667","10.530379","5.214286","1.862122","15.333333","8.178563","2.357143","1.139048","90","69","0.7667","3505","38.9444","53.137424","18","15.517732","14.2","13.905395","0.6975","0.236051","701","619.030532","15","13.9523","11.6667","8","7","1","F"
"3","0","0","1","20","81","4.05","2.126617","30.5","1.525","1.259712","30.5","1.525","0.88353","56","2.8","2.249444","22.5","1.125","1.202861","5","3.391165","20.25","15.461646","3.695833","0.781592","7.625","4.349928","1.933333","0.859263","7.625","4.758217","1.708333","0.509459","14","15.362291","2","1.490712","5.625","4.292071","1.366667","0.691616","6.6667","1.247219","27","12.675436","4.140476","1.822202","10.166667","3.704352","1.702381","0.950444","10.166667","5.328122","1.500595","0.605531","18.666667","6.944222","3.067857","1.693733","7.5","4.708149","1.320238","1.059699","315","133","0.4222","9029","28.6635","52.780418","52.5","20.653894","23.1667","13.679872","0.43081667","0.110799","1504.8333","1065.966137","52.5","34.330502","22.8333","4","2","2","F"
"7","0.1429","0","0","41","102.928572","2.510453","1.871544","76.357143","1.862369","1.631231","74.857143","1.825784","1.574258","464.428572","11.327526","14.771631","81.5","1.987805","2.086257","5.125","2.420615","12.866071","9.927572","2.233929","1.335866","9.544643","8.999996","1.63125","1.183873","9.357143","6.643625","1.597321","0.748212","58.053571","43.099608","10.058929","7.410591","10.1875","8.832117","1.654464","0.888546","5.8571","0.638877","14.704082","3.271136","2.560884","0.72739","10.908163","2.370468","1.87517","0.405797","10.693878","5.447565","1.797279","0.827389","66.346939","77.399756","10.482993","10.816714","11.642857","7.589409","2.068367","1.522399","260","179","0.6885","13886","53.4077","81.300269","43.3333","33.129376","30.3333","20.212757","0.78991667","0.141304","2314.3333","1319.404369","37.1429","33.112055","26.2857","2","0","2","A"
"7","0.1429","0","0","48","131.000001","2.729167","4.666992","93.357143","1.94494","1.800577","87.214286","1.816964","2.135976","182.571429","3.803571","4.066291","70.357143","1.465774","1.146733","6","2.44949","16.375","6.95354","3.014746","1.155666","11.669643","7.143119","2.078915","1.286102","10.901786","5.429386","1.79274","0.667899","22.821429","16.226985","3.637812","1.771482","8.794643","5.213483","1.40963","0.647952","6.8571","0.832993","18.714286","8.43566","2.677114","1.004744","13.336735","4.181508","1.924623","0.457318","12.459184","7.985579","1.865343","1.334444","26.081633","19.231573","3.83965","2.963131","10.05102","4.127825","1.45973","0.577109","220","176","0.8","7115","32.3409","22.712575","36.6667","18.891503","30.3333","17.726314","0.76221667","0.144718","1185.8333","715.274636","36.6667","49.155083","29.5","3","2","1","F"
"7","0.1429","0","0","44","176.571429","4.012987","5.03336","130.428572","2.964286","4.382712","67.571429","1.535714","1.332989","193.285715","4.392857","6.149985","125.285714","2.847403","5.445969","5.5","1.5","22.071429","13.818614","3.920238","2.442453","16.303571","11.322597","2.870833","1.786723","8.446429","5.392","1.417857","0.844704","24.160714","16.734487","4.344643","3.244846","15.660714","11.678722","2.78631","2.171838","6.2857","1.030158","25.22449","11.717485","4.183916","2.258677","18.632653","9.159697","3.012634","1.393202","9.653061","5.334774","1.520894","0.840331","27.612245","18.210258","4.825073","3.740669","17.897959","14.226554","3.286686","3.43456","173","126","0.7283","9537","55.1272","42.515363","28.8333","14.926673","21.6667","11.396881","0.79361667","0.226125","1589.5","1378.378123","28.8333","27.667169","21.5","2","0","2","A"
"6","0.1667","0","0","37","78.357143","2.117761","1.918633","74.357143","2.009653","1.922817","34.857143","0.942085","1.498356","127.142857","3.436293","4.41075","22.571429","0.610039","1.177461","4.625","0.992157","9.794643","8.052557","1.963244","1.463508","9.294643","7.914437","1.869494","1.473243","4.357143","3.130862","0.93378","0.733009","15.892857","11.009736","3.417113","2.608851","2.821429","1.485903","0.604762","0.244749","6.1667","1.067187","13.059524","3.953474","2.086451","0.467338","12.392857","3.668154","1.990618","0.481319","5.809524","3.505745","0.964286","0.543343","21.190476","12.804566","3.693906","2.570306","3.761905","3.789232","0.642857","0.696151","118","97","0.822","11071","93.822","152.384084","19.6667","10.826921","16.3333","9.706813","0.85963333","0.220704","1845.1667","1376.414596","19.6667","12.931443","16.5","2","2","0","A"
