"teamMemberCount","femaleTeamMembersPercent","teamLeadGender","teamDistribution","teamMemberResponseCount","meetingHoursTotal","meetingHoursAverage","meetingHoursStandardDeviation","inPersonMeetingHoursTotal","inPersonMeetingHoursAverage","inPersonMeetingHoursStandardDeviation","nonCodingDeliverablesHoursTotal","nonCodingDeliverablesHoursAverage","nonCodingDeliverablesHoursStandardDeviation","codingDeliverablesHoursTotal","codingDeliverablesHoursAverage","codingDeliverablesHoursStandardDeviation","helpHoursTotal","helpHoursAverage","helpHoursStandardDeviation","averageResponsesByWeek","standardDeviationResponsesByWeek","averageMeetingHoursTotalByWeek","standardDeviationMeetingHoursTotalByWeek","averageMeetingHoursAverageByWeek","standardDeviationMeetingHoursAverageByWeek","averageInPersonMeetingHoursTotalByWeek","standardDeviationInPersonMeetingHoursTotalByWeek","averageInPersonMeetingHoursAverageByWeek","standardDeviationInPersonMeetingHoursAverageByWeek","averageNonCodingDeliverablesHoursTotalByWeek","standardDeviationNonCodingDeliverablesHoursTotalByWeek","averageNonCodingDeliverablesHoursAverageByWeek","standardDeviationNonCodingDeliverablesHoursAverageByWeek","averageCodingDeliverablesHoursTotalByWeek","standardDeviationCodingDeliverablesHoursTotalByWeek","averageCodingDeliverablesHoursAverageByWeek","standardDeviationCodingDeliverablesHoursAverageByWeek","averageHelpHoursTotalByWeek","standardDeviationHelpHoursTotalByWeek","averageHelpHoursAverageByWeek","standardDeviationHelpHoursAverageByWeek","averageResponsesByStudent","standardDeviationResponsesByStudent","averageMeetingHoursTotalByStudent","standardDeviationMeetingHoursTotalByStudent","averageMeetingHoursAverageByStudent","standardDeviationMeetingHoursAverageByStudent","averageInPersonMeetingHoursTotalByStudent","standardDeviationInPersonMeetingHoursTotalByStudent","averageInPersonMeetingHoursAverageByStudent","standardDeviationInPersonMeetingHoursAverageByStudent","averageNonCodingDeliverablesHoursTotalByStudent","standardDeviationNonCodingDeliverablesHoursTotalByStudent","averageNonCodingDeliverablesHoursAverageByStudent","standardDeviationNonCodingDeliverablesHoursAverageByStudent","averageCodingDeliverablesHoursTotalByStudent","standardDeviationCodingDeliverablesHoursTotalByStudent","averageCodingDeliverablesHoursAverageByStudent","standardDeviationCodingDeliverablesHoursAverageByStudent","averageHelpHoursTotalByStudent","standardDeviationHelpHoursTotalByStudent","averageHelpHoursAverageByStudent","standardDeviationHelpHoursAverageByStudent","commitCount","uniqueCommitMessageCount","uniqueCommitMessagePercent","commitMessageLengthTotal","commitMessageLengthAverage","commitMessageLengthStandardDeviation","averageCommitCountByWeek","standardDeviationCommitCountByWeek","averageUniqueCommitMessageCountByWeek","standardDeviationUniqueCommitMessageCountByWeek","averageUniqueCommitMessagePercentByWeek","standardDeviationUniqueCommitMessagePercentByWeek","averageCommitMessageLengthTotalByWeek","standardDeviationCommitMessageLengthTotalByWeek","averageCommitCountByStudent","standardDeviationCommitCountByStudent","averageUniqueCommitMessageCountByStudent","issueCount","onTimeIssueCount","lateIssueCount","SE Process grade"
"7","0","0","0","28","73","2.607143","0.929258","72.5","2.589286","1.203073","74","2.642857","2.008274","18","0.642857","1.100788","24","0.857143","1.499149","9.3333","2.624669","24.333333","8.339997","2.565934","0.14668","24.166667","6.381397","2.60119","0.195796","24.666667","13.767918","2.479396","0.719258","6","3.488075","0.654762","0.43676","8","1.632993","0.875458","0.095097","4","0","10.428571","3.211904","2.607143","0.802976","10.357143","3.952524","2.589286","0.988131","10.571429","6.236005","2.642857","1.559001","2.571429","2.51323","0.642857","0.628308","3.428571","5.703561","0.857143","1.42589","71","35","0.493","1421","20.0141","26.125641","35.5","3.5","18","1","0.50925","0.02205","710.5","169.5","14.2","10.57166","7.6","1","1","0","F"
"7","0.2857","0","0","26","60.5","2.326923","0.664228","41","1.576923","0.453455","69.5","2.673077","2.261476","26","1","1.901416","14","0.538462","0.70606","8.6667","1.699673","20.166667","5.976807","2.283009","0.260106","13.666667","3.858612","1.551948","0.127357","23.166667","9.076833","2.584957","0.495475","8.666667","2.867442","1.052489","0.47456","4.666667","1.433721","0.550054","0.185748","3.7143","0.451754","8.642857","2.48875","2.309524","0.515079","5.857143","1.456863","1.583333","0.361873","9.928571","7.053006","2.654762","1.847042","3.714286","4.025429","1.059524","1.262017","2","2.017778","0.529762","0.516933","10","5","0.5","140","14","9.591663","5","1","3","1","0.58335","0.08335","70","33","5","3","2.5","1","1","0","A"
"6","0","0","0","22","44.5","2.022727","0.438937","41.5","1.886364","0.475103","72.5","3.295455","2.648581","19","0.863636","1.908008","15","0.681818","1.028519","7.3333","1.885618","14.833333","4.588633","2.005556","0.247331","13.833333","4.588633","1.861111","0.257601","24.166667","8.289887","3.383333","1.304337","6.333333","4.189935","0.944444","0.749485","5","2.483277","0.644444","0.149278","3.6667","0.471405","7.416667","1.426437","2.006944","0.177457","6.916667","1.742045","1.854167","0.2719","12.083333","9.602155","3.118056","2.316958","3.166667","4.089281","0.798611","1.0179","2.5","3.651484","0.645833","0.908343","44","40","0.9091","1834","41.6818","39.875245","14.6667","10.274023","13.6667","9.977753","0.93683333","0.065724","611.3333","354.435075","7.3333","3.448027","7","1","1","0","A"
"6","0","0","0","23","70.5","3.065217","1.385518","31.5","1.369565","0.555944","36","1.565217","0.824942","11.5","0.5","0.707107","18.5","0.804348","0.638257","7.6667","1.699673","23.5","8.573214","3.048413","1.040416","10.5","3.188521","1.369048","0.35991","12","3.559026","1.555556","0.342467","3.833333","2.392117","0.465873","0.274491","6.166667","3.27448","0.803968","0.460193","3.8333","0.372678","11.75","2.076656","3.076389","0.494423","5.25","0.692219","1.381944","0.213026","6","1.825742","1.569444","0.444661","1.916667","2.129489","0.479167","0.532372","3.083333","1.304373","0.798611","0.308462","50","43","0.86","1522","30.44","24.222436","16.6667","20.072092","14.3333","17.461068","0.87223333","0.102137","507.3333","643.089073","10","14.56022","8.6","1","1","0","A"
"6","0","0","0","19","49","2.578947","2.545704","44","2.315789","1.269174","68","3.578947","2.815667","60.5","3.184211","3.498912","16","0.842105","0.79559","6.3333","1.885618","16.333333","9.003086","2.422222","0.747506","14.666667","6.786424","2.237037","0.592986","22.666667","4.189935","3.733333","0.771722","20.166667","10.265909","3.011111","0.666852","5.333333","1.027402","0.874074","0.162879","3.1667","1.213352","8.166667","4.81029","2.375","0.954703","7.333333","3.986087","2.125","0.703414","11.333333","9.374907","3.041667","2.133154","10.083333","8.974114","2.666667","2.158639","2.666667","2.793842","0.75","0.645497","21","16","0.7619","451","21.4762","18.965179","7","7.788881","6","6.377042","0.94443333","0.078583","150.3333","163.099833","5.25","2.947457","4.25","1","1","0","F"
"6","0.1667","0","0","24","60","2.5","0.866025","27.5","1.145833","0.509885","60","2.5","1.406829","20","0.833333","1.404358","16.5","0.6875","0.718976","8","2.828427","20","7.560864","2.486111","0.241363","9.166667","3.17105","1.152778","0.137493","20","7.082843","2.513889","0.376284","6.666667","2.054805","0.916667","0.41388","5.5","3.559026","0.625","0.189419","4","0","10","2.5","2.5","0.625","4.583333","1.238839","1.145833","0.30971","10","4.123106","2.5","1.030776","3.333333","3.036811","0.833333","0.759203","2.75","1.952562","0.6875","0.488141","46","26","0.5652","1612","35.0435","36.366466","46","0","26","0","0.5652","0","1612","0","11.5","15.370426","7.25","1","0","1","F"
"6","0.1667","0","0","20","61","3.05","1.745709","34.9","1.745","1.138189","45.5","2.275","1.298798","19","0.95","0.87892","23.5","1.175","1.832178","6.6667","0.942809","20.333333","5.661763","3","0.446177","11.633333","2.85229","1.725","0.221213","15.166667","4.478343","2.256944","0.559103","6.333333","1.027402","0.951389","0.102533","7.833333","4.714045","1.243056","0.833391","3.3333","0.745356","10.166667","4.515406","3.013889","1.25108","5.816667","1.923899","1.801389","0.659868","7.583333","3.563901","2.256944","0.808096","3.166667","1.771691","1","0.629153","3.916667","3.877463","1.284722","1.291984","28","20","0.7143","573","20.4643","19.299301","9.3333","6.599663","7","3.741657","0.87036667","0.183329","191","123.911259","9.3333","4.642796","7","1","1","0","A"
"3","0","0","1","11","54.85","4.986364","12.663442","42.3","3.845455","8.284308","22.5","2.045455","1.927133","3","0.272727","0.493763","7.25","0.659091","0.899954","3.6667","0.942809","18.283333","19.838109","5.847778","6.77816","14.1","13.73754","4.464444","4.739387","7.5","2.828427","1.988889","0.219989","1","1.080123","0.222222","0.20787","2.416667","1.545603","0.638889","0.41574","3.6667","0.471405","18.283333","21.012946","5.904167","7.138849","14.1","13.011021","4.427778","4.529458","7.5","5.029082","2.263889","1.774003","1","1.414214","0.25","0.353553","2.416667","2.435273","0.604167","0.608818","3","2","0.6667","26","8.6667","6.599663","3","0","2","0","0.6667","0","26","0","1.5","0.5","1","2","1","1","F"
"3","0","0","1","10","19.2","1.92","0.983667","18.5","1.85","1.025914","17.9","1.79","1.066255","7.4","0.74","1.252358","2.65","0.265","0.379506","3.3333","0.471405","6.4","3.047403","1.836111","0.597074","6.166667","3.064129","1.763889","0.608898","5.966667","0.368179","1.836111","0.330567","2.466667","1.517308","0.738889","0.489961","0.883333","0.476678","0.255556","0.121969","3.3333","0.471405","6.4","3.047403","1.836111","0.597074","6.166667","3.091206","1.763889","0.623919","5.966667","2.206556","1.908333","0.847737","2.466667","3.488393","0.616667","0.872098","0.883333","0.833","0.276389","0.28383","1","1","1","29","29","0","1","0","1","0","1","0","29","0","1","0","1","1","1","0","F"
"3","0","0","1","12","62","5.166667","0.799305","35","2.916667","0.862007","53","4.416667","2.871072","39.5","3.291667","4.875356","21","1.75","0.829156","4","1.414214","20.666667","8.055364","5.111111","0.31427","11.666667","3.091206","3","0.272166","17.666667","8.055364","4.277778","0.477907","13.166667","7.145317","3.666667","2.606971","7","3.559026","1.666667","0.272166","4","0","20.666667","2.357023","5.166667","0.589256","11.666667","2.867442","2.916667","0.71686","17.666667","1.247219","4.416667","0.311805","13.166667","11.286669","3.291667","2.821667","7","2.160247","1.75","0.540062","10","8","0.8","199","19.9","24.316455","3.3333","2.054805","3","1.632993","0.94443333","0.078583","66.3333","59.834958","3.3333","2.624669","3","2","1","1","F"
