"teamMemberCount","femaleTeamMembersPercent","teamLeadGender","teamDistribution","teamMemberResponseCount","meetingHoursTotal","meetingHoursAverage","meetingHoursStandardDeviation","inPersonMeetingHoursTotal","inPersonMeetingHoursAverage","inPersonMeetingHoursStandardDeviation","nonCodingDeliverablesHoursTotal","nonCodingDeliverablesHoursAverage","nonCodingDeliverablesHoursStandardDeviation","codingDeliverablesHoursTotal","codingDeliverablesHoursAverage","codingDeliverablesHoursStandardDeviation","helpHoursTotal","helpHoursAverage","helpHoursStandardDeviation","averageResponsesByWeek","standardDeviationResponsesByWeek","averageMeetingHoursTotalByWeek","standardDeviationMeetingHoursTotalByWeek","averageMeetingHoursAverageByWeek","standardDeviationMeetingHoursAverageByWeek","averageInPersonMeetingHoursTotalByWeek","standardDeviationInPersonMeetingHoursTotalByWeek","averageInPersonMeetingHoursAverageByWeek","standardDeviationInPersonMeetingHoursAverageByWeek","averageNonCodingDeliverablesHoursTotalByWeek","standardDeviationNonCodingDeliverablesHoursTotalByWeek","averageNonCodingDeliverablesHoursAverageByWeek","standardDeviationNonCodingDeliverablesHoursAverageByWeek","averageCodingDeliverablesHoursTotalByWeek","standardDeviationCodingDeliverablesHoursTotalByWeek","averageCodingDeliverablesHoursAverageByWeek","standardDeviationCodingDeliverablesHoursAverageByWeek","averageHelpHoursTotalByWeek","standardDeviationHelpHoursTotalByWeek","averageHelpHoursAverageByWeek","standardDeviationHelpHoursAverageByWeek","averageResponsesByStudent","standardDeviationResponsesByStudent","averageMeetingHoursTotalByStudent","standardDeviationMeetingHoursTotalByStudent","averageMeetingHoursAverageByStudent","standardDeviationMeetingHoursAverageByStudent","averageInPersonMeetingHoursTotalByStudent","standardDeviationInPersonMeetingHoursTotalByStudent","averageInPersonMeetingHoursAverageByStudent","standardDeviationInPersonMeetingHoursAverageByStudent","averageNonCodingDeliverablesHoursTotalByStudent","standardDeviationNonCodingDeliverablesHoursTotalByStudent","averageNonCodingDeliverablesHoursAverageByStudent","standardDeviationNonCodingDeliverablesHoursAverageByStudent","averageCodingDeliverablesHoursTotalByStudent","standardDeviationCodingDeliverablesHoursTotalByStudent","averageCodingDeliverablesHoursAverageByStudent","standardDeviationCodingDeliverablesHoursAverageByStudent","averageHelpHoursTotalByStudent","standardDeviationHelpHoursTotalByStudent","averageHelpHoursAverageByStudent","standardDeviationHelpHoursAverageByStudent","commitCount","uniqueCommitMessageCount","uniqueCommitMessagePercent","commitMessageLengthTotal","commitMessageLengthAverage","commitMessageLengthStandardDeviation","averageCommitCountByWeek","standardDeviationCommitCountByWeek","averageUniqueCommitMessageCountByWeek","standardDeviationUniqueCommitMessageCountByWeek","averageUniqueCommitMessagePercentByWeek","standardDeviationUniqueCommitMessagePercentByWeek","averageCommitMessageLengthTotalByWeek","standardDeviationCommitMessageLengthTotalByWeek","averageCommitCountByStudent","standardDeviationCommitCountByStudent","averageUniqueCommitMessageCountByStudent","issueCount","onTimeIssueCount","lateIssueCount","SE Process grade "
"6","0.1667","0","0","5","12","2.4","1.019804","6.5","1.3","0.4","11","2.2","2.481935","18","3.6","3.666061","5","1","2","5","0","12","0","2.4","0","6.5","0","1.3","0","11","0","2.2","0","18","0","3.6","0","5","0","1","0","1","0","2.4","1.019804","2.4","1.019804","1.3","0.4","1.3","0.4","2.2","2.481935","2.2","2.481935","3.6","3.666061","3.6","3.666061","1","2","1","2","124","101","0.8145","11029","88.9435","102.513674","41.3333","5.906682","34.3333","4.988877","0.83446667","0.071717","3676.3333","752.953887","20.6667","17.950549","17.3333","1","1","0","F"
"3","0","0","1","2","7.15","3.575","1.175","2","1","0","6","3","0","1","0.5","0.5","1","0.5","0.5","2","0","7.15","0","3.575","0","2","0","1","0","6","0","3","0","1","0","0.5","0","1","0","0.5","0","1","0","3.575","1.175","3.575","1.175","1","0","1","0","3","0","3","0","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","172","94","0.5465","8416","48.9302","79.596919","57.3333","27.010286","33.3333","15.173076","0.60866667","0.18163","2805.3333","2556.984465","24.5714","21.319724","13.7143","4","3","1","F"
"3","0","0","1","3","30","10","3.559026","16","5.333333","3.399346","12","4","2.44949","23","7.666667","4.784233","10","3.333333","0.471405","3","0","30","0","10","0","16","0","5.333333","0","12","0","4","0","23","0","7.666667","0","10","0","3.333333","0","1","0","10","3.559026","10","3.559026","5.333333","3.399346","5.333333","3.399346","4","2.44949","4","2.44949","7.666667","4.784233","7.666667","4.784233","3.333333","0.471405","3.333333","0.471405","76","63","0.8289","3149","41.4342","57.314078","25.3333","16.006943","21.3333","13.816255","0.86956667","0.106512","1049.6667","572.425444","12.6667","13.237153","10.6667","2","2","0","F"
"3","0","0","1","4","15.5","3.875","1.340476","11.5","2.875","1.243734","6","1.5","1.06066","8","2","1.414214","5.5","1.375","0.960143","2","1","7.75","5.25","3.416667","0.916667","5.75","3.25","2.75","0.25","3","0.5","1.833333","0.666667","4","4","1.333333","1.333333","2.75","0.25","1.75","0.75","1.3333","0.471405","5.166667","1.545603","4.083333","1.359126","3.833333","2.248456","2.75","1.274755","2","0.707107","1.583333","0.656167","2.666667","0.942809","2.333333","1.247219","1.833333","1.433721","1.25","0.889757","188","83","0.4415","5965","31.7287","53.601523","62.6667","21.171259","28.3333","16.977109","0.4354","0.154557","1988.3333","1159.291259","31.3333","20.669355","14.5","4","2","2","F"
"7","0.1429","0","0","20","56.357143","2.817857","2.226404","47.785714","2.389286","1.845772","26.428572","1.321429","1.465435","144.428572","7.221429","6.70429","39.071429","1.953571","1.990446","5","1.224745","14.089286","11.920375","2.45","1.540557","11.946429","11.375477","2.019643","1.526261","6.607143","5.639126","1.148214","0.707889","36.107143","26.596258","6.460714","3.843234","9.767857","8.469841","1.6875","1.106963","2.8571","0.638877","8.05102","3.159214","2.921769","1.422078","6.826531","2.146886","2.44898","0.839812","3.77551","2.082633","1.362245","0.786689","20.632653","13.916632","6.865646","4.194777","5.581633","4.281023","1.903061","1.061069","212","142","0.6698","11381","53.684","89.129803","53","34.949964","36","21.083169","0.74585","0.129186","2845.25","1199.157699","30.2857","27.447166","21","1","0","1","A"
"7","0.1429","0","0","29","63.428572","2.187192","2.099771","53.714286","1.852217","2.007122","45.142858","1.55665","2.339243","98.000001","3.37931","4.530515","38.071429","1.312808","1.186026","7.25","2.046338","15.857143","6.696786","2.480584","1.463672","13.428572","6.719603","2.192602","1.598729","11.285714","4.21973","1.71301","0.751823","24.5","14.277319","3.57979","1.963746","9.517857","3.793582","1.450113","0.716174","4.1429","0.349927","9.061225","3.220612","2.228571","0.853427","7.673469","2.598176","1.882653","0.69087","6.44898","6.195752","1.576531","1.559723","14","11.160896","3.464286","2.820234","5.438776","1.771342","1.32398","0.459991","119","92","0.7731","4106","34.5042","26.930934","29.75","19.253246","23.75","18.060662","0.712525","0.154937","1026.5","818.752252","23.8","21.027601","18.6","2","2","0","F"
"7","0.1429","0","0","24","58","2.416667","1.825742","52.857143","2.202381","1.738054","32.428572","1.35119","1.312335","56.571429","2.357143","2.515231","32","1.333333","1.513252","6","0.707107","14.5","8.392477","2.364286","1.305377","13.214286","7.754196","2.161905","1.215154","8.107143","5.046089","1.32619","0.812972","14.142857","6.533274","2.320238","0.958228","8","4.141625","1.310714","0.627826","3.4286","0.728431","8.285714","2.341164","2.494898","0.771487","7.55102","1.768577","2.261905","0.546842","4.632653","3.186027","1.282313","0.721526","8.081633","3.605031","2.496599","1.277638","4.571429","2.678061","1.469388","0.979666","128","84","0.6563","6976","54.5","45.114784","32","17.146428","21.5","13.5","0.704325","0.228896","1744","1654.888969","21.3333","22.477149","14.3333","1","0","1","A"
"6","0.1667","0","0","20","48.714286","2.435714","2.12647","46.285714","2.314286","2.15334","12.357143","0.617857","1.077903","58.928572","2.946429","5.572477","8.428571","0.421429","0.920598","5","0.707107","12.178571","10.311166","2.291071","1.98684","11.571429","10.183019","2.180952","1.991205","3.089286","1.803748","0.577381","0.295164","14.732143","6.841197","2.9875","1.39942","2.107143","1.140064","0.420833","0.222637","3.3333","0.745356","8.119048","3.789007","2.321429","0.89328","7.714286","3.535053","2.220238","0.860656","2.059524","1.312173","0.68254","0.448167","9.821429","6.981724","2.793651","1.75583","1.404762","1.990482","0.412698","0.599614","91","70","0.7692","9518","104.5934","171.011598","22.75","10.917303","17.75","10.35314","0.78945","0.24143","2379.5","1377.101394","15.1667","10.807662","12","1","1","0","A"
"6","0.1667","0","0","20","60.428572","3.021429","2.204541","61.714286","3.085714","2.475379","31.142857","1.557143","1.867485","82.428572","4.121429","3.707762","29.571429","1.478571","1.640122","5","1.581139","15.107143","6.821615","2.98852","1.315074","15.428572","7.548483","3.073129","1.48658","7.785714","2.865167","1.56165","0.331084","20.607143","9.59718","4.36352","2.379502","7.392857","4.547229","1.449405","0.991259","3.3333","0.471405","10.071429","3.079171","3.097222","1.100497","10.285714","3.521557","3.196429","1.322014","5.190476","2.783169","1.597222","0.890458","13.738095","6.33123","4.089286","1.787007","4.928571","3.454023","1.555556","1.198538","75","60","0.8","3369","44.92","41.444504","18.75","8.525696","15.5","7.826238","0.8204","0.116995","842.25","401.517356","15","4.289522","12","1","0","1","A"
"6","0.1667","0","0","20","23.892857","1.194643","0.946292","18","0.9","0.748331","15.5","0.775","0.990896","62.714286","3.135714","3.1241","16.142857","0.807143","0.888819","5","1.224745","5.973214","2.5306","1.289286","0.607793","4.5","1.685775","0.986905","0.473509","3.875","1.288068","0.789881","0.206735","15.678571","11.210133","3.169048","1.950889","4.035714","1.906956","0.853571","0.40885","3.3333","1.105542","3.982143","2.493508","1.185714","0.789116","3","1.895214","0.860714","0.569547","2.583333","1.485999","0.727778","0.262073","10.452381","4.64481","3.026984","0.772406","2.690476","1.843202","0.833333","0.614336","4","3","0.75","72","18","3.674235","2","0","1.5","0.5","0.75","0.25","36","6","4","0","3","1","1","0","A"
