"teamMemberCount","femaleTeamMembersPercent","teamLeadGender","teamDistribution","teamMemberResponseCount","meetingHoursTotal","meetingHoursAverage","meetingHoursStandardDeviation","inPersonMeetingHoursTotal","inPersonMeetingHoursAverage","inPersonMeetingHoursStandardDeviation","nonCodingDeliverablesHoursTotal","nonCodingDeliverablesHoursAverage","nonCodingDeliverablesHoursStandardDeviation","codingDeliverablesHoursTotal","codingDeliverablesHoursAverage","codingDeliverablesHoursStandardDeviation","helpHoursTotal","helpHoursAverage","helpHoursStandardDeviation","leadAdminHoursResponseCount","leadAdminHoursTotal","leadAdminHoursAverage","leadAdminHoursStandardDeviation","globalLeadAdminHoursResponseCount","globalLeadAdminHoursTotal","globalLeadAdminHoursAverage","globalLeadAdminHoursStandardDeviation","averageResponsesByWeek","standardDeviationResponsesByWeek","averageMeetingHoursTotalByWeek","standardDeviationMeetingHoursTotalByWeek","averageMeetingHoursAverageByWeek","standardDeviationMeetingHoursAverageByWeek","averageInPersonMeetingHoursTotalByWeek","standardDeviationInPersonMeetingHoursTotalByWeek","averageInPersonMeetingHoursAverageByWeek","standardDeviationInPersonMeetingHoursAverageByWeek","averageNonCodingDeliverablesHoursTotalByWeek","standardDeviationNonCodingDeliverablesHoursTotalByWeek","averageNonCodingDeliverablesHoursAverageByWeek","standardDeviationNonCodingDeliverablesHoursAverageByWeek","averageCodingDeliverablesHoursTotalByWeek","standardDeviationCodingDeliverablesHoursTotalByWeek","averageCodingDeliverablesHoursAverageByWeek","standardDeviationCodingDeliverablesHoursAverageByWeek","averageHelpHoursTotalByWeek","standardDeviationHelpHoursTotalByWeek","averageHelpHoursAverageByWeek","standardDeviationHelpHoursAverageByWeek","averageLeadAdminHoursResponseCountByWeek","standardDeviationLeadAdminHoursResponseCountByWeek","averageLeadAdminHoursTotalByWeek","standardDeviationLeadAdminHoursTotalByWeek","averageGlobalLeadAdminHoursResponseCountByWeek","standardDeviationGlobalLeadAdminHoursResponseCountByWeek","averageGlobalLeadAdminHoursTotalByWeek","standardDeviationGlobalLeadAdminHoursTotalByWeek","averageGlobalLeadAdminHoursAverageByWeek","standardDeviationGlobalLeadAdminHoursAverageByWeek","averageResponsesByStudent","standardDeviationResponsesByStudent","averageMeetingHoursTotalByStudent","standardDeviationMeetingHoursTotalByStudent","averageMeetingHoursAverageByStudent","standardDeviationMeetingHoursAverageByStudent","averageInPersonMeetingHoursTotalByStudent","standardDeviationInPersonMeetingHoursTotalByStudent","averageInPersonMeetingHoursAverageByStudent","standardDeviationInPersonMeetingHoursAverageByStudent","averageNonCodingDeliverablesHoursTotalByStudent","standardDeviationNonCodingDeliverablesHoursTotalByStudent","averageNonCodingDeliverablesHoursAverageByStudent","standardDeviationNonCodingDeliverablesHoursAverageByStudent","averageCodingDeliverablesHoursTotalByStudent","standardDeviationCodingDeliverablesHoursTotalByStudent","averageCodingDeliverablesHoursAverageByStudent","standardDeviationCodingDeliverablesHoursAverageByStudent","averageHelpHoursTotalByStudent","standardDeviationHelpHoursTotalByStudent","averageHelpHoursAverageByStudent","standardDeviationHelpHoursAverageByStudent","commitCount","uniqueCommitMessageCount","uniqueCommitMessagePercent","commitMessageLengthTotal","commitMessageLengthAverage","commitMessageLengthStandardDeviation","averageCommitCountByWeek","standardDeviationCommitCountByWeek","averageUniqueCommitMessageCountByWeek","standardDeviationUniqueCommitMessageCountByWeek","averageUniqueCommitMessagePercentByWeek","standardDeviationUniqueCommitMessagePercentByWeek","averageCommitMessageLengthTotalByWeek","standardDeviationCommitMessageLengthTotalByWeek","averageCommitCountByStudent","standardDeviationCommitCountByStudent","averageUniqueCommitMessageCountByStudent","standardDeviationUniqueCommitMessageCountByStudent","averageUniqueCommitMessagePercentByStudent","standardDeviationUniqueCommitMessagePercentByStudent","averageCommitMessageLengthTotalByStudent","standardDeviationCommitMessageLengthTotalByStudent","averageCommitMessageLengthAverageByStudent","standardDeviationCommitMessageLengthAverageByStudent","averageCommitMessageLengthStandardDeviationByStudent","issueCount","onTimeIssueCount","lateIssueCount","productLetterGrade"
"7","0","M","Local","71","189.5","2.669014085","1.363362821","192","2.704225352","1.478906774","132.5","1.866197183","2.081030599","202","2.845070423","3.424838383","79.5","1.11971831","1.759210748","10","54","5.4","2.835489376","0","","","","11.8333","6.066758241","31.58333333","16.77899646","2.622822105","0.475241791","32","17.02204453","2.666054175","0.493565255","22.08333333","13.06527416","1.852982826","0.834739115","33.66666667","32.01518737","2.801777088","2.399364834","13.25","8.244947948","1.17758401","0.490322861","1.6667","1.105541597","10.8","5.455272679","0","0","","","","","10.1429","1.884415137","27.07142857","4.263035232","2.760204082","0.642074939","27.42857143","6.236004739","2.807823129","0.82241237","18.92857143","16.01211276","1.929251701","1.605851567","28.85714286","15.12971128","2.840306122","1.459994601","11.35714286","13.81178142","1.152210884","1.373688147","251","132","0.5259","6879","27.4064","39.13601523","35.8571","21.21608939","19.8571","10.73616813","0.66292857","0.223419821","982.7143","504.7657772","35.8571","33.77415991","19.5714","21.24588796","0.53905714","0.268605217","982.7143","816.1998555","39.36865714","30.59276226","40.87330005","1","1","0","A"
"7","0.2857","M","Local","67","178","2.656716418","1.366466615","102","1.52238806","0.648953439","163.5","2.440298507","2.39171828","201","3","5.702186017","51","0.76119403","0.714237977","11","27","2.454545455","0.78202957","0","","","","9.5714","6.230274996","25.42857143","19.68761135","2.464146568","0.377060709","14.57142857","9.98366012","1.43149149","0.251261","23.35714286","17.79990828","2.412186416","0.563303427","28.71428571","29.76558073","2.445476728","2.036119099","7.285714286","6.12289114","0.754903404","0.250633424","1.5714","1.178030179","4.5","2.753785274","0","0","","","","","9.5714","1.916629695","25.42857143","9.363411205","2.585966811","0.69542976","14.57142857","3.994894701","1.516702742","0.248109753","23.35714286","18.51392195","2.388564214","1.6411488","28.71428571","28.6840637","3.589393939","4.688692679","7.285714286","5.605208948","0.711471861","0.510394774","89","73","0.8202","2403","27","27.1930262","11.125","5.754074643","9.625","5.097487126","0.8396375","0.172447593","300.375","200.8033475","17.8","18.78722971","14.6","17.00117643","0.85732","0.175665266","480.6","395.8896816","33.77628","22.9518011","23.9377605","1","1","0","A"
"6","0","M","Local","63","213","3.380952381","2.619696889","194.5","3.087301587","2.308609976","214.5","3.404761905","3.158331314","212.5","3.373015873","3.093731827","50.5","0.801587302","1.187032055","12","13","1.083333333","0.493006649","0","","","","10.5","7.112196098","35.5","37.35862239","2.834330484","1.15818764","32.41666667","34.46546178","2.570156695","1.030938374","35.75","26.04923223","3.362962963","1.005804485","35.41666667","42.28318881","2.823005698","1.976520912","8.416666667","8.069575922","0.701851852","0.170832706","2","1.414213562","2.166666667","2.19215774","0","0","","","","","10.5","1.892969449","35.5","17.60445019","3.27531265","1.37261278","32.41666667","14.76035418","2.988696489","1.090927575","35.75","29.6321194","3.174422799","2.360115158","35.41666667","15.69611594","3.376322751","1.374040846","8.416666667","11.64909391","0.751082251","0.96259709","227","195","0.859","10964","48.2996","53.34178838","22.7","11.78176557","20.1","9.934284071","0.90035","0.123488074","1096.4","682.1360861","37.8333","18.19722201","32.8333","16.85641981","0.86765","0.152984691","1827.3333","1234.796294","46.56681667","33.09959642","34.21211787","1","1","0","A"
"6","0","M","Local","67","240","3.582089552","2.227033726","107","1.597014925","1.30223346","82","1.223880597","0.783617625","219","3.268656716","3.872336213","62.5","0.932835821","0.727372712","12","13","1.083333333","0.276385399","0","","","","9.5714","6.433331571","34.28571429","28.69277801","3.144774273","0.974260031","15.28571429","14.23741836","1.389548547","0.412868735","11.71428571","7.200481843","1.307575758","0.357679382","31.28571429","42.55740421","2.018923933","2.243506781","8.928571429","7.659860925","0.8716141","0.361254095","1.7143","1.27775313","2.166666667","1.343709625","0","0","","","","","11.1667","0.687184271","40","7.879297769","3.576010101","0.645897449","17.83333333","5.75663868","1.593686869","0.509768681","13.66666667","1.374368542","1.230555556","0.158066487","36.5","11.81453907","3.294191919","1.066509694","10.41666667","3.877463375","0.926262626","0.316471675","338","309","0.9142","20811","61.571","49.1334614","33.8","21.66471786","31.1","20.19133478","0.9192","0.079856471","2081.1","1556.01751","56.3333","54.54559764","51.8333","48.71487338","0.90106667","0.120663964","3468.5","3234.217048","51.3317","30.96994838","33.26960358","1","1","0","A"
"6","0","M","Local","55","123","2.236363636","2.082076205","115","2.090909091","1.794159487","134","2.436363636","2.542465778","226.5","4.118181818","4.001094891","44","0.8","0.970473174","12","25","2.083333333","0.276385399","0","","","","7.8571","5.436085026","17.57142857","11.58949207","2.201731602","0.901811923","16.42857143","10.96236605","2.172263993","1.18241961","19.14285714","10.21803128","2.569514696","1.239693772","32.35714286","32.27860225","3.412143996","2.148929995","6.285714286","3.389660148","0.896134275","0.487570159","1.7143","1.484614978","4.166666667","2.733536578","0","0","","","","","9.1667","2.339278141","20.5","12.03813385","2.15734127","0.918363307","19.16666667","10.05678323","2.068055556","0.971592058","22.33333333","16.85889149","2.331349206","1.743379344","37.75","27.74549513","3.718253968","2.261671528","7.333333333","6.599663291","0.799206349","0.551875567","68","58","0.8529","1388","20.4118","13.09269587","11.3333","11.54219313","10.1667","11.23115706","0.88398333","0.181610411","231.3333","237.3904426","13.6","16.84755175","12","14.1562707","0.94164","0.071501289","277.6","301.3725933","27.41468","13.21012113","11.21891646","1","1","0","A"
"6","0.1667","M","Local","66","200","3.03030303","1.632711975","96.5","1.462121212","1.354875053","181","2.742424242","5.643608898","401","6.075757576","7.991113637","79.75","1.208333333","1.75139735","12","7.75","0.645833333","0.259372908","0","","","","9.4286","6.966391623","28.57142857","25.94283354","2.688095238","0.549419917","13.78571429","14.37969089","1.27202381","0.312890346","25.85714286","26.01471326","2.707142857","0.808074683","57.28571429","87.74592263","3.716666667","4.032250937","11.39285714","14.33891878","0.869047619","0.499219913","1.7143","1.484614978","1.291666667","1.044994684","0","0","","","","","11","1.414213562","33.33333333","10.08161142","2.986742424","0.714958986","16.08333333","4.086733278","1.440656566","0.23122269","30.16666667","24.08607251","2.66729798","2.14173024","66.83333333","43.36825516","5.95959596","3.575125315","13.29166667","13.14535459","1.17739899","1.071972857","299","253","0.8462","29686","99.2843","101.9560013","42.7143","7.02473763","36.5714","8.861749954","0.8592","0.146085054","4240.8571","1681.672248","49.8333","56.6257205","42.6667","50.09213733","0.82596667","0.176078606","4947.6667","6855.110032","92.26393333","47.07159484","77.32433304","3","2","1","A"
"6","0.1667","M","Local","59","166.95","2.829661017","1.668454035","77.6","1.315254237","0.956124515","111","1.881355932","1.987970141","155.1","2.628813559","3.30223606","70.5","1.194915254","1.461416045","10","4.8","0.48","0.368239053","0","","","","7.375","6.040229714","20.86875","14.46381125","3.081628788","0.649729069","9.7","6.871862921","1.502493687","0.448709066","13.875","8.57594747","2.312263258","2.191606535","19.3875","23.8151967","2.267376894","1.265103974","8.8125","8.721157822","1.221196338","0.639340531","1.25","0.661437828","0.685714286","0.405069911","0","0","","","","","9.8333","1.863389981","27.825","8.563670845","2.855714286","0.930951417","12.93333333","2.494438258","1.336587302","0.26474512","18.5","9.28260021","1.90515873","0.889199297","25.85","23.06322831","2.490555556","1.846257894","11.75","8.355387484","1.264484127","0.856660032","259","230","0.888","14445","55.7722","38.44313656","25.9","20.00724869","23.5","19.10104709","0.92023","0.12909732","1444.5","1366.246336","51.8","34.90787877","46.4","30.38157336","0.84292","0.185717263","2889","1953.027496","53.07358","17.73203459","36.73640406","3","3","0","A"
"3","0","M","Global","28","93.65","3.344642857","8.255651087","66.8","2.385714286","5.376783045","101.5","3.625","8.18085199","80","2.857142857","6.900902041","13.25","0.473214286","0.679217268","5","2.5","0.5","0.273861279","4","1.75","0.4375","0.446339277","4","2.20389266","13.37857143","15.30468782","3.785272109","4.888895432","9.542857143","10.61923553","2.637823129","3.500269293","14.5","12.99450433","8.280952381","14.99598175","11.42857143","23.01153216","1.840136054","3.206193247","1.892857143","1.315139474","0.508503401","0.307668056","0.7143","0.699854212","0.625","0.279508497","0.5714","0.728431359","0.583333333","0.424918293","0.458333333","0.412478956","9.3333","0.471404521","31.21666667","23.0051202","3.413888889","2.596082638","22.26666667","12.25325354","2.408148148","1.388429949","33.83333333","13.39205818","3.700925926","1.566965977","26.66666667","20.53181813","2.937037037","2.306304356","4.416666667","3.820631129","0.45462963","0.374195525","215","124","0.5767","10255","47.6977","76.89556037","30.7143","29.94621028","19.1429","16.71977932","0.73447143","0.192518094","1465","2084.929598","30.7143","24.70230924","18.1429","15.64269406","0.65197143","0.23249911","1465","1554.201403","54.93897143","40.11299996","56.42164219","8","5","3","A"
"3","0","M","Global","21","40.2","1.914285714","0.833401358","36.5","1.738095238","0.907889332","34.9","1.661904762","0.985840802","56.4","2.685714286","3.044790354","4.9","0.233333333","0.381829348","5","2.05","0.41","0.193390796","5","1","0.2","0.083666003","3.5","0.5","6.7","2.250925735","1.904166667","0.555564236","6.083333333","2.24381867","1.729166667","0.54206716","5.816666667","1.483707818","1.668055556","0.407692714","9.4","7.831560083","2.55","1.947933378","0.816666667","0.716860439","0.225","0.179698822","0.8333","0.687184271","0.5125","0.326678359","0.8333","0.687184271","0.25","0.136930639","0.19375","0.075777223","7","1.632993162","13.4","0.64807407","2.027089947","0.512785737","12.16666667","2.624669291","1.841798942","0.628092027","11.63333333","5.836856079","1.545714286","0.544573727","18.8","8.046531344","2.634074074","0.990897392","1.633333333","0.967241209","0.218730159","0.082443167","80","72","0.9","5774","72.175","56.71921522","11.4286","13.49981103","10.4286","11.44997995","0.975","0.061237244","824.8571","719.5564961","16","8.579044236","14.4","8.777243303","0.87008","0.145153676","1154.8","751.4413883","66.70918","25.43864455","45.98839772","3","2","1","F"
"3","0","M","Global","32","172","5.375","3.199120973","92","2.875","1.658312395","135","4.21875","3.379481978","137.5","4.296875","4.16244252","68","2.125","1.763341997","1","1","1","0","1","2","2","0","4.5714","2.770102776","24.57142857","17.94322111","5.171428571","2.420509495","13.14285714","7.034173145","3.00952381","1.0439492","19.28571429","13.12265528","4.338095238","0.923318475","19.64285714","16.0105195","3.947619048","2.724192447","9.714285714","7.886956424","1.933333333","0.759908098","0.1429","0.349927106","1","0","0.1429","0.349927106","2","0","2","0","10.6667","0.471404521","57.33333333","12.22929089","5.348484848","0.983565598","30.66666667","11.95361405","2.833333333","1.027402334","45","17.66352173","4.154545455","1.519514929","45.83333333","6.956212252","4.31969697","0.759334323","22.66666667","10.07747764","2.087878788","0.879216197","104","78","0.75","3761","36.1635","50.58639042","11.5556","13.67975886","9.2222","11.80186217","0.78564444","0.214187421","417.8889","560.605713","17.3333","14.16176386","13.3333","15.07389207","0.7005","0.243817787","626.8333","921.9498209","25.04806667","14.99615041","19.9692751","12","10","2","A"
"3","0","M","Global","29","112","3.862068966","1.809441482","61.5","2.120689655","1.399847112","64.5","2.224137931","1.561035283","61","2.103448276","2.1510996","31.5","1.086206897","1.067295692","8","8.5","1.0625","0.390312375","8","6.5","0.8125","0.496078371","4.1429","2.799416849","16","12.78112448","3.6","0.611464544","8.785714286","3.90838972","2.592857143","1.0071907","9.214285714","4.256148014","2.642857143","1.181003983","8.714285714","13.12537657","1.375","1.33871681","4.5","3.654742516","1.173809524","0.603814406","1.1429","0.832993128","1.416666667","1.169639071","1.1429","0.832993128","1.083333333","1.169639071","0.694444444","0.494569273","9.6667","1.699673171","37.33333333","15.96524002","3.810185185","1.361221336","20.5","4.301162634","2.212962963","0.733646585","21.5","9.907909298","2.212962963","0.958255051","20.33333333","7.760297818","2.212962963","1.101890756","10.5","3.188521078","1.162037037","0.516738014","343","137","0.3994","9103","26.5394","51.11443797","38.1111","26.94621987","16.4444","14.69777845","0.49024444","0.220071984","1011.4444","1115.610656","57.1667","39.29553268","23.5","27.27483578","0.36936667","0.320796398","1517.1667","1650.462402","24.28645","18.95964532","28.62133571","5","3","2","A"
"7","0.1429","M","Local","71","180.0714286","2.536217304","2.073558036","129.0714286","1.817907445","1.445670194","159.5714286","2.24748491","2.075733344","519.0714286","7.310865192","12.29706929","123.3714286","1.737625755","1.973319358","8","15","1.875","0.330718914","0","","","","5.9167","2.691292544","15.00595238","10.6475085","2.323160175","1.137505618","10.75595238","8.074086071","1.700189396","0.996236154","13.29761905","10.2526682","1.97072511","0.833833508","43.25595238","40.98134487","7.388988097","7.144803521","10.28095238","7.671868242","1.591626084","0.796522988","0.6667","0.623609564","2.142857143","0.349927106","0","0","","","","","10.1429","1.245399698","25.7244898","7.768744708","2.560147393","0.775025602","18.43877551","3.685609191","1.823170481","0.318769555","22.79591837","13.64135736","2.16772315","1.145141687","74.15306123","79.69519584","6.810580293","6.456599986","17.6244898","9.911399671","1.79272315","1.091410092","268","184","0.6866","14261","53.2127","80.27334079","33.5","33.36540124","23.375","21.25404373","0.7486875","0.154858011","1782.625","1468.932515","38.2857","35.08241027","27","24.14243448","0.78095714","0.198957324","2037.2857","1991.616695","45.98441429","19.01323851","53.03259461","3","1","2","F"
"7","0.1429","M","Local","75","191.571429","2.554285721","3.838136122","130.2142858","1.736190477","1.564381312","157.0000001","2.093333335","1.927277873","210.1428573","2.801904764","3.677583748","125.1428572","1.668571429","1.547241273","11","33","3","0.738548946","0","","","","6.25","2.553592241","15.96428575","6.406078341","2.750832742","0.976857104","10.85119048","5.959647341","1.868171298","1.087644636","13.08333334","6.14014566","2.06636454","0.609170963","17.51190477","15.36466684","2.813341754","1.892143395","10.42857143","4.854078157","1.644399352","0.561262862","0.9167","0.493006649","3.3","1.615549442","0","0","","","","","10.7143","1.030157507","27.36734701","10.71172961","2.485879206","0.798018814","18.60204083","5.349839544","1.71171408","0.382118531","22.42857144","16.15238115","2.04906205","1.42945198","30.02040818","21.87166766","2.716707897","1.889718582","17.87755103","10.56113083","1.638028242","0.933373832","226","176","0.7788","7115","31.4823","23.00427329","32.2857","20.51977642","26.1429","19.35701107","0.67714286","0.247743478","1016.4286","781.4840931","37.6667","48.68150459","29.5","37.2949952","0.8553","0.194445777","1185.8333","1591.931261","38.79161667","24.34236142","22.65689827","4","3","1","F"
"7","0.1429","M","Local","75","242.357143","3.231428573","4.071439822","177.857143","2.371428573","3.489348873","155.0714286","2.067619048","3.516981029","223.5714287","2.980952382","5.133766216","161.4285715","2.152380953","4.332820482","12","21.5","1.791666667","0.802556679","0","","","","6.25","1.785357107","20.19642858","11.58901972","3.331746037","2.14942448","14.82142858","9.423226285","2.436375667","1.574562162","12.92261905","12.39505121","1.830820107","1.335173121","18.63095239","15.99547749","3.276719582","3.086201181","13.45238096","10.06827598","2.255026458","1.925551483","1","0.577350269","2.15","1.00124922","0","0","","","","","10.7143","1.484614978","34.622449","11.96293562","3.387123791","1.530296391","25.40816328","8.012809941","2.461438365","1.028608724","22.15306123","11.30458436","2.02520099","0.975415883","31.93877553","20.27865028","3.219877347","2.255979692","23.0612245","16.12087309","2.411100805","2.083002","191","128","0.6702","9604","50.2827","43.24220918","27.2857","14.32993157","19","12.40967365","0.70405714","0.303237963","1372","1382.875885","31.8333","28.07381144","22","19.29594085","0.79283333","0.151228113","1600.6667","1763.903027","50.23783333","33.54484016","29.4078276","2","0","2","A"
