"teamMemberCount","femaleTeamMembersPercent","teamLeadGender","teamDistribution","teamMemberResponseCount","meetingHoursTotal","meetingHoursAverage","meetingHoursStandardDeviation","inPersonMeetingHoursTotal","inPersonMeetingHoursAverage","inPersonMeetingHoursStandardDeviation","nonCodingDeliverablesHoursTotal","nonCodingDeliverablesHoursAverage","nonCodingDeliverablesHoursStandardDeviation","codingDeliverablesHoursTotal","codingDeliverablesHoursAverage","codingDeliverablesHoursStandardDeviation","helpHoursTotal","helpHoursAverage","helpHoursStandardDeviation","leadAdminHoursResponseCount","leadAdminHoursTotal","leadAdminHoursAverage","leadAdminHoursStandardDeviation","globalLeadAdminHoursResponseCount","globalLeadAdminHoursTotal","globalLeadAdminHoursAverage","globalLeadAdminHoursStandardDeviation","averageResponsesByWeek","standardDeviationResponsesByWeek","averageMeetingHoursTotalByWeek","standardDeviationMeetingHoursTotalByWeek","averageMeetingHoursAverageByWeek","standardDeviationMeetingHoursAverageByWeek","averageInPersonMeetingHoursTotalByWeek","standardDeviationInPersonMeetingHoursTotalByWeek","averageInPersonMeetingHoursAverageByWeek","standardDeviationInPersonMeetingHoursAverageByWeek","averageNonCodingDeliverablesHoursTotalByWeek","standardDeviationNonCodingDeliverablesHoursTotalByWeek","averageNonCodingDeliverablesHoursAverageByWeek","standardDeviationNonCodingDeliverablesHoursAverageByWeek","averageCodingDeliverablesHoursTotalByWeek","standardDeviationCodingDeliverablesHoursTotalByWeek","averageCodingDeliverablesHoursAverageByWeek","standardDeviationCodingDeliverablesHoursAverageByWeek","averageHelpHoursTotalByWeek","standardDeviationHelpHoursTotalByWeek","averageHelpHoursAverageByWeek","standardDeviationHelpHoursAverageByWeek","averageLeadAdminHoursResponseCountByWeek","standardDeviationLeadAdminHoursResponseCountByWeek","averageLeadAdminHoursTotalByWeek","standardDeviationLeadAdminHoursTotalByWeek","averageGlobalLeadAdminHoursResponseCountByWeek","standardDeviationGlobalLeadAdminHoursResponseCountByWeek","averageGlobalLeadAdminHoursTotalByWeek","standardDeviationGlobalLeadAdminHoursTotalByWeek","averageGlobalLeadAdminHoursAverageByWeek","standardDeviationGlobalLeadAdminHoursAverageByWeek","averageResponsesByStudent","standardDeviationResponsesByStudent","averageMeetingHoursTotalByStudent","standardDeviationMeetingHoursTotalByStudent","averageMeetingHoursAverageByStudent","standardDeviationMeetingHoursAverageByStudent","averageInPersonMeetingHoursTotalByStudent","standardDeviationInPersonMeetingHoursTotalByStudent","averageInPersonMeetingHoursAverageByStudent","standardDeviationInPersonMeetingHoursAverageByStudent","averageNonCodingDeliverablesHoursTotalByStudent","standardDeviationNonCodingDeliverablesHoursTotalByStudent","averageNonCodingDeliverablesHoursAverageByStudent","standardDeviationNonCodingDeliverablesHoursAverageByStudent","averageCodingDeliverablesHoursTotalByStudent","standardDeviationCodingDeliverablesHoursTotalByStudent","averageCodingDeliverablesHoursAverageByStudent","standardDeviationCodingDeliverablesHoursAverageByStudent","averageHelpHoursTotalByStudent","standardDeviationHelpHoursTotalByStudent","averageHelpHoursAverageByStudent","standardDeviationHelpHoursAverageByStudent","commitCount","uniqueCommitMessageCount","uniqueCommitMessagePercent","commitMessageLengthTotal","commitMessageLengthAverage","commitMessageLengthStandardDeviation","averageCommitCountByWeek","standardDeviationCommitCountByWeek","averageUniqueCommitMessageCountByWeek","standardDeviationUniqueCommitMessageCountByWeek","averageUniqueCommitMessagePercentByWeek","standardDeviationUniqueCommitMessagePercentByWeek","averageCommitMessageLengthTotalByWeek","standardDeviationCommitMessageLengthTotalByWeek","averageCommitCountByStudent","standardDeviationCommitCountByStudent","averageUniqueCommitMessageCountByStudent","standardDeviationUniqueCommitMessageCountByStudent","averageUniqueCommitMessagePercentByStudent","standardDeviationUniqueCommitMessagePercentByStudent","averageCommitMessageLengthTotalByStudent","standardDeviationCommitMessageLengthTotalByStudent","averageCommitMessageLengthAverageByStudent","standardDeviationCommitMessageLengthAverageByStudent","averageCommitMessageLengthStandardDeviationByStudent","issueCount","onTimeIssueCount","lateIssueCount","productLetterGrade"
"6","0.1667","M","Local","36","126","3.5","1.936491673","61.5","1.708333333","1.741547045","106","2.944444444","7.486819694","363","10.08333333","8.810899185","58","1.611111111","2.085369375","7","5","0.714285714","0.24743583","0","","","","18","6","63","22","3.479166667","0.0625","30.75","16.75","1.572916667","0.40625","53","34","2.604166667","1.020833333","181.5","72.5","9.833333333","0.75","29","16","1.479166667","0.395833333","3.5","1.5","2.5","1","0","0","","","","","6","1.154700538","21","8.041558721","3.424603175","1.17324165","10.25","4.180809332","1.640873016","0.433852856","17.66666667","19.01461426","3.092857143","3.810777324","60.5","38.41332234","10.14087302","6.3055259","9.666666667","10.4509436","1.538095238","1.470495929","129","127","0.9845","17045","132.1318","104.2460105","43","8.640987598","42.3333","9.104333522","0.98193333","0.012833636","5681.6667","1154.784925","21.5","25.87630834","21.1667","25.49128391","0.99141667","0.014196293","2840.8333","4367.65091","109.3174167","31.54757136","69.30275764","1","1","0","A"
"6","0.1667","M","Local","31","74.95","2.417741935","1.007115682","29.7","0.958064516","0.712457896","34.5","1.112903226","0.904377146","116.1","3.74516129","3.736467083","40","1.290322581","1.330620723","4","1.4","0.35","0.15","0","","","","15.5","6.5","37.475","17.225","2.368181818","0.118181818","14.85","9.85","0.839141414","0.283585859","17.25","9.75","1.03030303","0.196969697","58.05","16.05","4.017424242","0.649242424","20","9","1.27020202","0.047979798","2","0","0.7","0.3","0","0","","","","","5.1667","1.572330189","12.49166667","5.214596235","2.376388889","0.832692616","4.95","2.347871376","0.909126984","0.229982486","5.75","2.968585522","1.117063492","0.380481894","19.35","20.57779953","3.354365079","3.084235762","6.666666667","4.792934615","1.366071429","0.892670285","100","93","0.93","6479","64.79","34.08380701","33.3333","13.02134999","31.6667","11.78511302","0.96156667","0.038413568","2159.6667","806.5607368","20","15.08641773","18.8","14.59314908","0.84112","0.255511999","1295.8","1233.655608","50.01624","27.61237189","22.41749417","2","2","0","A"
"3","0","M","Global","14","30.65","2.189285714","2.502440136","21.5","1.535714286","1.043077276","28","2","2","75","5.357142857","9.08182756","4.5","0.321428571","0.447498717","0","","","","0","","","","7","0","15.325","9.675","2.189285714","1.382142857","10.75","3.75","1.535714286","0.535714286","14","2","2","0.285714286","37.5","30","5.357142857","4.285714286","2.25","0.75","0.321428571","0.107142857","0","0","","","0","0","","","","","4.6667","0.471404521","10.21666667","0.872098363","2.220833333","0.352422174","7.166666667","3.472111109","1.5","0.637704216","9.333333333","8.498365856","1.883333333","1.68341584","25","21.46314671","5.233333333","4.184362423","1.5","1.08012345","0.308333333","0.208499933","40","31","0.775","1813","45.325","66.39969409","13.3333","9.809292646","10.6667","7.133644853","0.88286667","0.118795772","604.3333","614.1575983","6.6667","4.068851872","5.3333","3.144660377","0.85371667","0.139121115","302.1667","330.323789","38.70093333","29.23489175","29.06834361","2","1","1","A"
"3","0","M","Global","8","13","1.625","0.484122918","11","1.375","0.484122918","14","1.75","0.968245837","39","4.875","3.333072906","2","0.25","0.433012702","0","","","","0","","","","4","0","6.5","0.5","1.625","0.125","5.5","0.5","1.375","0.125","7","1","1.75","0.25","19.5","2.5","4.875","0.625","1","1","0.25","0.25","0","0","","","0","0","","","","","4","1","6.5","0.5","1.7","0.3","5.5","1.5","1.366666667","0.033333333","7","2","1.733333333","0.066666667","19.5","5.5","5.566666667","2.766666667","1","0","0.266666667","0.066666667","25","25","1","2234","89.36","49.99910399","8.3333","9.672412086","8.3333","9.672412086","1","0","744.6667","850.8201272","6.25","3.269174208","6.25","3.269174208","1","0","558.5","340.1106438","87.4383","35.11564011","32.62334765","2","1","1","F"
"3","0","M","Global","16","78","4.875","3.550968178","39","2.4375","1.184205958","64","4","3.905124838","75","4.6875","2.887878763","36","2.25","2.277608395","0","","","","0","","","","8","2","39","23","4.433333333","1.766666667","19.5","7","2.366666667","0.283333333","32","15","3.766666667","0.933333333","37.5","15.5","4.483333333","0.816666667","18","9","2.1","0.6","0","0","","","0","0","","","","","5.3333","0.471404521","26","6.683312552","4.811111111","0.830142038","13","5.887840578","2.388888889","0.984446953","21.33333333","13.88844444","3.955555556","2.660734142","25","7.118052168","4.788888889","1.619403945","12","7.788880964","2.166666667","1.302134999","14","6","0.4286","356","25.4286","10.14688049","7","4","3.5","2.5","0.4394","0.1061","178","103","4.6667","3.091206165","2","0.816496581","0.7037","0.419031479","118.6667","84.97973615","23.83333333","12.07154597","3.976984044","6","5","1","A"
"7","0.1429","M","Local","25","46.57142895","1.862857158","1.433317829","28.57142878","1.142857151","1.156546584","48.42857158","1.937142863","1.547126368","320.0000009","12.80000004","17.86634826","42.42857158","1.697142863","2.028398383","3","5","1.666666667","0.471404521","0","","","","5","2.898275349","9.314285791","6.641489854","1.614285737","0.577397401","5.714285755","4.495803012","0.994285728","0.291036143","9.685714316","7.354243504","1.637142869","0.830126606","64.00000018","50.4614622","10.92571433","8.837445343","8.485714316","9.093437847","1.297142869","0.740788318","0.6","0.8","2.5","0.5","0","0","","","","","3.5714","0.903507903","6.653061279","3.093166706","1.862244916","0.716036899","4.081632682","3.007141332","1.058843544","0.674164254","6.918367369","4.33902702","1.791836741","0.907375261","45.71428584","67.3876131","10.86190479","13.28802338","6.061224512","4.11982137","1.925850347","1.718462621","128","100","0.7813","6681","52.1953","37.35431254","42.6667","29.82541794","33.6667","22.93953405","0.84786667","0.1083356","2227","1528.450414","18.2857","15.19129719","14.4286","10.26585384","0.86761429","0.157147932","954.4286","933.0648205","43.71607143","15.26236816","27.27184694","1","0","1","F"
"7","0.1429","M","Local","28","67.57142976","2.413265349","5.851478097","39.64285773","1.415816348","1.698870423","42.07142904","1.502551037","1.547195455","84.57142994","3.020408212","3.678918153","32.28571475","1.153061241","1.017700489","3","7.142857194","2.380952398","0.471404521","0","","","","5.6","2.576819745","13.51428595","3.148825526","2.839127024","1.016622086","7.928571546","4.134967921","1.572182555","0.845728893","8.414285809","5.323877653","1.497976203","0.735020041","16.91428599","9.977362351","2.956666701","1.153120963","6.457142949","4.060159885","1.095317472","0.499130026","0.6","0.489897949","2.380952398","0.875465515","0","0","","","","","4","1.069044968","9.653061394","6.41329589","2.21428575","1.03991838","5.66326539","2.987514","1.358163284","0.433482558","6.010204149","3.760394489","1.448979608","0.727143749","12.08163285","10.20714256","2.898979639","2.166350414","4.612244964","2.78030801","1.10136056","0.55607762","136","117","0.8603","4107","30.1985","17.68674306","45.3333","9.030811456","39.3333","7.40870359","0.86963333","0.011477611","1369","254.166612","34","37.26929031","29.25","30.54811778","0.941475","0.074744277","1026.75","1248.623717","32.89105","13.53602015","16.18799851","1","0","1","F"
"7","0.1429","M","Local","25","118.5714291","4.742857165","6.329107362","77.57142913","3.102857165","5.626508687","35.14285737","1.405714295","1.29614814","136.7142864","5.468571457","7.680208331","93.28571466","3.731428586","6.933512818","4","6","1.5","0.5","0","","","","5","1.673320053","23.71428583","16.42372589","4.380952411","2.823811905","15.51428583","13.17623086","2.863809554","2.010059943","7.028571475","5.660749188","1.207619058","0.844550889","27.34285728","19.708819","5.09523813","3.737951441","18.65714293","13.54707583","3.409523828","2.46775852","0.8","0.748331477","2","0","0","0","","","","","3.5714","0.494871659","16.93877559","12.89040079","4.627551043","3.453540243","11.08163273","10.22882714","2.9846939","2.527054088","5.020408196","2.826806903","1.437074839","0.938304015","19.53061235","15.97021914","5.583333362","4.570750931","13.32653067","13.22417488","3.862244914","4.146749578","55","53","0.9636","3386","61.5636","36.73827018","18.3333","6.944222219","18","6.976149845","0.98146667","0.026210091","1128.6667","314.5391691","13.75","3.832427429","13.25","4.493050189","0.94445","0.096215422","846.5","358.4567617","58.698375","12.01449151","33.29993765","1","0","1","A"
"6","0.1667","M","Local","21","29.64285728","1.411564633","1.615542424","28.07142869","1.336734699","1.626732462","22.50000009","1.071428576","1.70167318","68.21428677","3.24829937","5.272613537","14.14285728","0.673469394","1.376841171","5","2.857142895","0.571428579","0.4","0","","","","4.2","0.979795897","5.928571457","4.276657072","1.308333342","0.720276458","5.614285737","4.105148567","1.246428579","0.730739068","4.500000018","3.933633088","1.032142863","0.920305082","13.64285735","7.708728333","3.077381007","1.598282516","2.828571457","1.671855846","0.630952389","0.215604401","1","0.632455532","0.714285724","0.303045756","0","0","","","","","3.5","0.763762616","4.940476214","1.469888629","1.455952386","0.516313148","4.678571448","1.193626786","1.381349211","0.440423453","3.750000015","2.824741904","1.036111114","0.638314963","11.3690478","7.917132311","3.611904818","2.789874525","2.357142881","2.002974006","0.709523816","0.648359762","43","43","1","4523","105.186","126.7587446","14.3333","6.236095645","14.3333","6.236095645","1","0","1507.6667","1089.793966","7.1667","4.740487551","7.1667","4.740487551","1","0","753.8333","723.6332903","80.19153333","45.93241259","64.58131594","1","1","0","F"
"7","0.1429","M","Local","25","51.85714352","2.074285741","1.876166304","44.85714334","1.794285734","1.918332609","29.00000018","1.160000007","1.466424222","83.57142958","3.342857183","4.03900978","14.78571439","0.591428576","0.774596669","3","2.785714298","0.928571433","0.623609564","0","","","","5","1.264911064","10.3714287","6.878300738","1.948027232","1.296878966","8.971428668","4.716795865","1.713741512","0.906249333","5.800000036","4.863525193","1.157823136","0.968395572","16.71428592","7.954975446","3.117551051","1.466196984","2.957142878","1.599489695","0.587074834","0.31716617","0.6","0.489897949","0.928571433","0.762648443","0","0","","","","","3.5714","1.178030179","7.40816336","2.084831454","2.133673501","0.352763229","6.408163335","2.366467124","1.813605467","0.29739371","4.142857168","2.181288042","1.216326538","0.839657666","11.93877565","9.488325658","3.593877597","2.751398895","2.112244913","1.947509881","0.550000003","0.478837883","69","67","0.971","5686","82.4058","58.58953729","23","11.22497216","22.3333","11.6714276","0.95303333","0.037171704","1895.3333","1208.469096","11.5","7.455423082","11.1667","7.174414417","0.98125","0.026760901","947.6667","689.9467773","82.74905","16.28184534","43.84065793","1","0","1","A"
